60693,1,EBS_ValidateCustomerDetails,6/02/2019 11:37:33 AM,0,Passed,6/02/2019 11:36:32 AM,basic.step,,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,956,Passed,"",basic.init,
"Iteration Total (sec)",,52495,Passed,"",basic.iteration,
"Call Function: Browser_Functions.Launch",,10330,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 11.0.9600.19301",,2875,Passed,"",basic.step,
"Navigate https://ebsqa.beachbody.local:4463/",23,249,Passed,"",ft.action,
"WaitForPage",24,480,Passed,"",web.pageComplete,
"Call Function: Browser_Functions.Login",,6602,Passed,"",basic.stepGroup,
"Click textBox(""@id='usernameField'"")",,1183,Passed,"",ft.action,
"SetText textBox(""@id='usernameField'"") VNALLANI",,54,Passed,"",ft.action,
"PressTab textBox(""@id='usernameField'"")",,92,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,49,Passed,"",ft.action,
"Click button(""@value='Login'"")",,97,Passed,"",ft.action,
"WaitForPage",,4915,Passed,"",web.pageComplete,
"Frame (URL=https://ebsqa.beachbody.local:4463/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://ebsqa.beachbody.local:4463/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Call Function: Browser_Functions.SelectMenu",,6855,Passed,"",basic.stepGroup,
"Click link(""@text='US CS ADMIN'"")",,125,Passed,"",ft.action,
"Think: 0 (sec).",,11,Passed,"",basic.comment,
"Click link(""@text='Customer Service Portal'"")",,122,Passed,"",ft.action,
"WaitForPage",,6494,Passed,"",web.pageComplete,
"Think: 0 (sec).",,9,Passed,"",basic.comment,
"Call Function: Forms_Functions.CustomerSearch",,21550,Passed,"",basic.stepGroup,
"SelectItem tab(""@name='FIND_TAB_CANVAS'"") Customer",,13443,Passed,"",ft.action,
"SetText textField(""@name='XXDAZ_FIND_CUSTOMER_V_EMAIL_0'"") testing_vvv@yopmail.com",45,1221,Passed,"",ft.action,
"Click button(""@name='XXDAZ_FIND_CUSTOMER_V_FIND_CUST_0'"")",,2600,Passed,"",ft.action,
"Think: 0 (sec).",,8,Passed,"",basic.comment,
"Click button(""@name='XXDAZ_FIND_CUSTOMER_LIST_OPEN_0'"")",,3656,Passed,"",ft.action,
"Think: 0 (sec).",,9,Passed,"",basic.comment,
"Call Function: Forms_Functions.ValidateCustomerDetails",,7069,Passed,"",basic.stepGroup,
"Reported Pass",,1,Passed,"Comments: First Name TESTING validated",basic.comment,
"Reported Pass",,0,Passed,"Comments: Network CLUB validated",basic.comment,
"SelectItem tab(""@name='TABCANVAS'"") Entitlements",,1786,Passed,"",ft.action,
"Reported Pass",,1,Passed,"Comments: First Name TESTING validated",basic.comment,
"Reported Pass",,1,Passed,"Comments: City SANTA MONICA validated",basic.comment,
"Reported Pass",,0,Passed,"Comments: Zip 90404 validated",basic.comment,
"Reported Pass",,0,Passed,"Comments: State CA validated",basic.comment,
"Reported Pass",,0,Passed,"Comments: Country US validated",basic.comment,
"Reported Pass",,1,Passed,"Comments: Phone +14695552221 validated",basic.comment,
"Finish Total (sec)",,6806,Passed,"",basic.finish,
